scenario,profit_EUR
112,150057.57771500002
113,204267.13527499995
114,186706.72027499997
115,176243.19091499998
116,176083.94455500005
117,202153.067315
118,186942.0244349999
119,180948.33059499995
120,5126.357800000002
121,5543.660400000001
122,5317.694960000001
123,5012.980159999999
124,-8367.391469999999
125,-8851.04351
126,-9087.02739
127,-6542.019949999998
128,30728.834200000012
129,33952.827159999986
130,26058.634959999996
131,30573.900319999986
132,130436.11829499993
133,151768.6852549999
134,124456.05289499997
135,131576.48045499995
136,213438.01746499992
137,248740.21450499992
138,226817.74302499997
139,217136.16158499988
140,129266.18211499997
141,171954.96339500003
142,160017.027075
143,141001.67983500002
144,165733.45875500003
145,214282.10903499997
146,202398.45207499992
147,182606.52595499996
148,127866.19526999997
149,162119.04659000004
150,154142.62211
151,136891.54807000002
152,104290.71626999998
153,134307.94718999998
154,129122.15271
155,111298.03054999991
156,162350.294275
157,198444.06119500002
158,186014.31519499997
159,158297.15647499997
160,600401.8891950002
161,656740.9033150001
162,640423.595515
163,609282.589915
164,616600.6808450001
165,672162.5495249999
166,655258.712965
167,623640.633165
168,340756.20580999996
169,374881.71236999996
170,379285.7578899999
171,349945.3531699998
172,77475.61274499999
173,86987.03422499998
174,83634.042025
175,80354.982465
176,163699.03384500003
177,183110.09196500003
178,178507.19964500004
179,172796.75448499998
180,211853.89351999998
181,238495.38559999998
182,233890.40576000005
183,224019.77811999997
184,52381.36228
185,62559.82572000001
186,62851.14136000001
187,58901.338080000016
188,40986.85011000001
189,43917.30095
190,41675.615150000005
191,40901.98715000001
192,272124.5632800001
193,319072.63620000007
194,306487.5157200001
195,296479.36592000007
196,283687.25390500005
197,305153.105785
198,295885.81914499996
199,289389.14538500004
200,6160.510334999999
201,6632.033014999999
202,6458.073615000001
203,6105.366655
204,-13113.162245000007
205,-13270.507685000004
206,-13419.652485000002
207,-11326.264804999999
208,63629.242285
209,65963.664085
210,60731.432564999996
211,63571.57956500001
212,239869.61419500003
213,256528.387515
214,238346.35591500002
215,241403.92423500004
216,352275.22713000013
217,381305.87045
218,367715.34537
219,356995.3284899999
220,243067.425185
221,275948.74382499995
222,267406.592465
223,252562.361905
224,295828.44435
225,333984.02103000006
226,325253.32563
227,309598.51155000005
228,220656.0931450001
229,248062.75486500002
230,241851.81898500002
231,228250.203065
232,193477.29166
233,215249.0695
234,211417.92726000003
235,198212.23874
236,294903.33001
237,322236.73597
238,313180.00288999995
239,289784.93220999994
240,1048772.978615
241,1093546.301695
242,1105728.279575
243,1066886.226215
244,1050741.70017
245,1095656.22413
246,1109254.30001
247,1069349.35669
248,704677.742295
249,730298.9573349999
250,763239.682895
251,726400.4786149999
252,132928.453885
253,140277.536325
254,139941.448525
255,135787.425045
256,313474.629715
257,330724.091195
258,331092.537195
259,322172.575475
260,406596.946955
261,427342.151315
262,436764.501715
263,422420.47823500005
264,115380.30618
265,123952.06409999999
266,129488.3795
267,123594.30677999998
268,66077.826335
269,69656.164095
270,69897.438655
271,67822.641575
272,492882.34364
273,529018.72792
274,531732.17992
275,514090.35412
276,512342.75468
277,530521.8174
278,541381.48588
279,527164.82468
280,12704.290389999998
281,13370.119909999998
282,13275.57203
283,12672.95683
284,-23528.07954
285,-23796.60798
286,-23971.29634
287,-22110.219100000002
288,78468.813725
289,80375.064125
290,75872.488645
291,78200.817005
292,362723.780565
293,378575.37808500003
294,369985.849325
295,369158.97184500005
296,614192.70001
297,638056.37645
298,648878.98193
299,628445.92837
300,389663.85916999995
301,414583.46268999996
302,412869.05921
303,399075.85569
304,506902.29370000004
305,536573.22678
306,540875.6565
307,523521.52190000005
308,392558.2277800001
309,413498.88102000003
310,416548.73206
311,401371.86294
312,304280.150695
313,320938.563895
314,322381.27813500003
315,309339.825215
316,463781.89606
317,487156.79194
318,485540.06798
319,460960.22126
320,1008182.795475
321,1048627.355035
322,1063125.566035
323,1037398.5277149999
324,1032713.327635
325,1072306.255715
326,1087410.182115
327,1060081.064915
328,616046.371205
329,641819.3706449999
330,668154.889125
331,642746.0839249999
332,125101.59019
333,131665.83631
334,131872.70499
335,129683.32527
336,251336.05828
337,264790.20036
338,265361.57172
339,263226.1516
340,361288.080345
341,381461.143745
342,389094.29278500006
343,380857.495185
344,89602.01598999999
345,97514.19542999999
346,101613.25958999999
347,97907.07514999999
348,59869.575585
349,62106.520065000004
350,62085.545505
351,61128.517625
352,440257.295645
353,473538.260165
354,478394.614045
355,467178.145325
356,484029.55190499994
357,501968.039185
358,512039.82026500005
359,502145.916465
360,7171.800209999999
361,7564.444449999999
362,7504.086730000003
363,7158.30985
364,-23056.04337
365,-23240.55721
366,-23693.075210000003
367,-22352.42409
368,96786.860285
369,98227.538965
370,95821.575605
371,96918.815805
372,385777.328035
373,400111.22687500005
374,396015.72175500006
375,395385.389795
376,606256.077025
377,629133.463185
378,641032.034705
379,624514.839505
380,387441.77225
381,409389.23345
382,409314.43945
383,400835.64833
384,479234.36526
385,505620.21089999995
386,509453.74717999995
387,499324.31898
388,361843.763485
389,381219.242725
390,384745.17240499996
391,375774.303325
392,315864.859075
393,329524.707195
394,332140.744115
395,323524.12699499994
396,475763.336335
397,493964.249095
398,496587.78625500004
399,478476.25841500005
400,896120.6530850001
401,941816.511605
402,929070.687405
403,898726.8133250001
404,888332.43837
405,935493.70817
406,924856.27809
407,893374.15205
408,579491.926505
409,605710.511665
410,616253.318425
411,586650.3656649999
412,118455.29584
413,126178.131
414,122751.17328
415,119678.71372
416,294667.891285
417,310220.686325
418,303981.112005
419,296952.31380500004
420,343514.81538000004
421,365764.03346000006
422,363498.69714000006
423,352788.83242
424,97636.19149
425,106969.05721
426,108357.07609
427,103048.86845000001
428,58480.310880000005
429,62376.243
430,61318.228
431,59360.23704000001
432,427907.17727
433,469597.04431
434,459076.1472700001
435,443942.52843000006
436,413255.546125
437,432838.1406050001
438,428638.9830850001
439,418995.72336500004
440,12039.216905000003
441,12793.599065000002
442,12662.985665000004
443,11986.419625000004
444,-21653.493445
445,-21478.741725
446,-21352.359085000004
447,-19678.267805
448,66419.998035
449,68587.333835
450,63607.031155000004
451,66358.810555
452,299203.21193
453,316162.54305000004
454,299821.40933000005
455,301385.37169
456,490292.32077
457,517881.88785000006
458,510933.55573
459,496113.77385
460,349428.98531
461,377060.45219000004
462,369185.16163000005
463,357435.48955000006
464,446621.94705500006
465,478841.21385500004
466,472230.14337500004
467,458194.493575
468,346904.042755
469,369156.251435
470,363466.48867500003
471,351115.180555
472,268831.87982
