hour,p_DA_opt_MW,mean_wind_MW,pct_capacity
0,0.0,181.34599999999998,0.0
1,0.0,182.21200000000002,0.0
2,500.0,181.43650000000002,100.0
3,500.0,182.93349999999998,100.0
4,500.0,181.76100000000002,100.0
5,0.0,177.74,0.0
6,500.0,178.52599999999998,100.0
7,0.0,185.0195,0.0
8,500.0,189.40349999999998,100.0
9,500.0,193.5525,100.0
10,0.0,196.3005,0.0
11,0.0,198.2795,0.0
12,500.0,197.294,100.0
13,0.0,193.24,0.0
14,500.0,188.68899999999996,100.0
15,500.0,185.66,100.0
16,500.0,181.78549999999998,100.0
17,500.0,179.94549999999998,100.0
18,500.0,183.49,100.0
19,500.0,188.62900000000002,100.0
20,500.0,190.77650000000003,100.0
21,500.0,188.713,100.0
22,500.0,186.08550000000002,100.0
23,500.0,184.4345,100.0
