scenario,profit_EUR
0,47957.490174999926
1,71831.08534999983
2,56203.80282500014
3,49674.32125000004
4,55106.423750000075
5,77996.6594
6,60106.81044999999
7,53970.994674999965
8,30036.569350000005
9,46041.50950000016
10,35382.17627500021
11,28966.51132499997
12,3326.5353249999753
13,6925.627775000001
14,5206.396099999984
15,4405.7861749999865
16,-43.18950000003679
17,6585.594375000044
18,5051.941225000017
19,4732.773724999977
20,13920.929799999867
21,23980.993774999923
22,17062.593274999934
23,15809.869349999994
24,2325.7950750000164
25,5368.90850000002
26,3213.6713750000054
27,3266.052300000025
28,3790.6828749999986
29,3771.658500000005
30,1705.9975500000146
31,2554.5922750000027
32,13443.702025000006
33,27591.05740000005
34,18335.55777500011
35,19954.295450000092
36,36805.29220000014
37,44572.88742500008
38,32391.066500000074
39,34160.317875000066
40,361.9560249999995
41,225.80312499999854
42,116.44452499999898
43,220.53210000000036
44,0.0
45,0.0
46,0.0
47,0.0
48,9669.406899999987
49,10525.360424999992
50,8476.21272499999
51,9660.536324999994
52,30257.111724999908
53,35529.869949999906
54,25550.16242499993
55,28887.287374999898
56,46593.68245000008
57,56792.71335000009
58,41470.3661000001
59,43506.871575
60,6128.048049999867
61,19242.571799999918
62,14283.588749999937
63,8931.916224999935
64,11575.212200000067
65,26242.908850000123
66,18717.06320000009
67,14368.45677499997
68,8502.64717500005
69,19249.08535000001
70,14448.730900000024
71,10705.83997500001
72,7882.999000000011
73,17746.450199999905
74,14938.497999999963
75,10184.244924999948
76,21079.149949999875
77,31487.69699999981
78,26895.818974999827
79,21549.357249999885
80,219730.66821000038
81,237830.7204250003
82,224879.1746500003
83,221360.45592500025
84,224992.1774899999
85,242147.18284999987
86,227498.66862499993
87,224347.27769999998
88,149785.44145000016
89,162354.12752500002
90,153500.4493000001
91,149558.45752499998
92,26689.327820000006
93,29452.88870000001
94,28007.267425
95,27599.501175000012
96,58376.88671499997
97,63591.76477499993
98,62256.951974999916
99,62243.96287499991
100,83573.20336999994
101,91414.72674999997
102,85792.10985000001
103,85359.27932499995
104,23603.732615
105,26037.937749999997
106,24332.324149999986
107,24456.35272499999
108,14338.360570000004
109,14333.047424999997
110,12762.63695
111,13458.838800000012
112,98636.46630500007
113,109863.78584999993
114,102367.01922500005
115,104197.39314999996
116,109467.95093500003
117,115581.56345000002
118,105772.89305000001
119,107793.486125
120,2964.0816499999964
121,2865.3767249999983
122,2781.5780250000025
123,2860.7939750000005
124,0.0
125,0.0
126,0.0
127,0.0
128,16757.150574999992
129,17327.056824999992
130,15682.35007499998
131,16701.66127499999
132,78491.80165999994
133,82235.51659999992
134,74255.32242499996
135,77267.64787499997
136,134982.15390500007
137,142909.12545000005
138,130475.51242500008
139,132928.146175
140,82451.31228499988
141,92017.9047999999
142,88022.96984999982
143,84523.9892249998
144,105772.92840500001
145,116709.57104999991
146,110668.49082499993
147,108042.24467500002
148,80201.04646000004
149,88419.20972500002
150,84450.65335000004
151,82137.09692500008
152,67149.41734000004
153,74229.90252500004
154,71841.81310000009
155,68680.37745000003
156,99482.76548499987
157,107190.10039999988
158,103255.52232499991
159,99732.83217499981
160,498482.046325
161,506141.4243500001
162,497629.68290000013
163,498306.47725
164,514209.7807750001
165,520824.1919
166,511689.86175000016
167,512671.9652750001
168,271596.212425
169,278319.71715
170,268746.507675
171,269927.01505
172,65224.96089999999
173,66545.95405
174,65576.127025
175,65758.11927499999
176,131801.76752499992
177,134046.9987499999
178,132394.24184999996
179,133354.2499999999
180,175674.13915
181,179893.42904999998
182,175346.92552499997
183,176317.5196
184,43942.22802500002
185,45333.13625000001
186,43612.56332500001
187,44131.66802500002
188,33586.84952499999
189,33411.83625000001
190,32703.299450000006
191,33091.70302500001
192,235593.59692500002
193,242292.86555000005
194,237905.658
195,240020.64415
196,232114.24527500005
197,235386.35855000006
198,229292.5358
199,230998.76642500004
200,4535.078874999999
201,4456.516300000003
202,4410.396800000002
203,4492.998300000003
204,0.0
205,0.0
206,0.0
207,0.0
208,54923.24604999999
209,54938.22359999998
210,54958.635099999985
211,54930.51704999998
212,203849.91527499992
213,204688.13584999996
214,202414.56714999993
215,202887.60557499994
216,293416.6983000001
217,297468.84535000013
218,290242.698825
219,292046.3104250001
220,209648.09907499986
221,213092.19299999985
222,211219.62364999985
223,210327.59094999987
224,251161.85632499988
225,255618.6909499999
226,251548.21169999993
227,251507.66057499993
228,183883.197875
229,187838.267
230,184973.141
231,184940.49590000004
232,166718.01784999997
233,168657.51009999998
234,167116.07832499998
235,166841.1637
236,248990.64227499987
237,251244.66604999988
238,249418.22104999988
239,248596.83592499985
240,976169.2553750002
241,976777.2824400001
242,982359.8852300001
243,979515.7072100001
244,978166.15427
245,978425.376115
246,984385.36431
247,981517.400085
248,659713.672675
249,660797.31316
250,665757.15798
251,663279.6125700001
252,124116.413195
253,124156.20673500001
254,124705.77428000001
255,124467.76944
256,292105.86307499994
257,292840.10608999996
258,293713.02478
259,293041.00367999997
260,383072.67019
261,383548.700745
262,386082.05812
263,384845.64456499997
264,111036.35127500002
265,111320.46011000001
266,112255.187955
267,111804.00741500001
268,61450.23670500001
269,61594.65293500001
270,62100.640990000014
271,61845.74473000001
272,468985.57200000004
273,469168.4991250001
274,472273.43966500007
275,470619.17249500006
276,477957.909165
277,478797.424735
278,482690.232535
279,480605.31154
280,13018.306944999998
281,13054.881114999998
282,13085.310939999998
283,13048.835845000001
284,0.0
285,0.0
286,0.0
287,0.0
288,72457.91229499999
289,72331.79934
290,72673.08205499999
291,72436.53878999999
292,336362.71563999995
293,336600.40027999994
294,338834.07390499994
295,337558.8833449999
296,573437.17048
297,574015.5525
298,578836.484295
299,576015.1756600001
300,365225.0943999998
301,364426.71632499987
302,365863.86372999987
303,365680.63952999987
304,476057.73545499996
305,475723.75445999997
306,478169.49369
307,477421.52018
308,366735.576215
309,366841.19581
310,368595.515065
311,367895.595735
312,283682.12486
313,283015.13099
314,284068.402965
315,283897.18538000004
316,428689.72095499985
317,428703.22943999985
318,430397.85035999987
319,429336.32762999984
320,930689.625985
321,930863.6667200001
322,936597.9665400002
323,940957.53358
324,955156.19863
325,954517.4181
326,960156.2293799999
327,964150.67267
328,561311.3821
329,563801.998735
330,565326.63856
331,569002.8788749999
332,115797.54879
333,115664.60538
334,116374.13534499999
335,117163.204485
336,225112.76676
337,224294.25253
338,225139.76959000004
339,228017.39289000005
340,333953.53705
341,334917.256635
342,336318.98257999995
343,338428.89998
344,82436.63518000001
345,82639.924615
346,82867.705835
347,83564.47403000001
348,53987.722530000014
349,53505.256320000015
350,53780.91606500001
351,54118.716755000016
352,411229.5706700001
353,411103.16454500007
354,414706.26077000005
355,416567.8399250001
356,446225.85360499995
357,447736.91593500006
358,450663.84297
359,451358.06414000003
360,6543.207144999997
361,6448.0081949999985
362,6465.948664999996
363,6571.29898
364,0.0
365,0.0
366,0.0
367,0.0
368,92640.01650999999
369,92331.87273499998
370,93456.392925
371,92769.279235
372,360841.85109999997
373,360768.20238499995
374,364437.00255499996
375,363821.4351049999
376,562874.041865
377,564052.33516
378,568523.03049
379,568437.07727
380,361147.3807249998
381,359654.27070999984
382,361538.8478499998
383,363934.40555999987
384,444747.07278499997
385,443719.14128
386,445571.27236999996
387,448510.75445999997
388,333244.835935
389,333263.08910999994
390,334973.677745
391,337465.08608999994
392,294607.67553500005
393,293053.71583
394,294453.02821
395,296395.15822000004
396,439786.43075499986
397,437913.3478699998
398,441138.4369499999
399,443324.0175199999
400,808202.0270550001
401,809411.4181100002
402,804375.7540700001
403,805097.7902300002
404,800947.0645050001
405,802337.8235599999
406,797931.5267
407,798665.988905
408,524648.6339750001
409,526260.9175550002
410,521540.611175
411,522185.58827500005
412,107825.679105
413,108115.677155
414,107321.52498999999
415,107563.29707
416,268459.26743999997
417,268465.8696
418,266684.36493
419,266793.92578999995
420,314120.72170500003
421,315594.61904500006
422,313121.45482
423,313496.14683
424,92045.10608000001
425,92797.37854000002
426,92006.65619000002
427,91765.92792500003
428,53103.921965000016
429,53400.915880000015
430,53419.16978000001
431,53208.07581500001
432,398514.3516700001
433,401824.5138100001
434,399537.2520600001
435,398779.3368700001
436,370083.63798500004
437,371781.40986500005
438,369184.42255500006
439,369111.6164350001
440,11887.105510000005
441,11935.255545000004
442,11925.163095000004
443,11883.225585000004
444,0.0
445,0.0
446,0.0
447,0.0
448,57994.865539999984
449,57944.93697499999
450,58066.784194999986
451,58006.42911499999
452,266302.0633599999
453,267142.40771999996
454,266037.64743499993
455,265789.58206499997
456,440258.44660500006
457,442812.81189500005
458,440014.01645999996
459,439587.367785
460,321420.97657499986
461,322062.7479999999
462,320978.1221699999
463,321613.1953899999
464,410047.37002499995
465,411144.987175
466,409029.39524999994
467,409697.03091
468,316233.64859
469,317201.101055
470,315274.159385
471,315756.67251
472,245286.94979500002
473,245040.16166000004
474,244025.0413
475,244581.44951000003
476,369883.7655949999
477,369972.08232499985
478,368807.4036649999
479,368253.2477699999
480,1114926.61231
481,1111698.87275
482,1114507.5472000001
483,1114385.3574100002
484,1103724.59533
485,1100884.3248049999
486,1104775.070485
487,1104454.96417
488,761194.576565
489,759840.8686950001
490,762651.8692750001
491,762249.556475
492,145216.24397
493,144638.335245
494,144761.18087
495,144874.828505
496,361900.56119
497,360808.35114
498,360380.48156
499,360104.09965999995
500,443154.81655
501,442203.33252
502,443573.691335
503,443191.38178
504,131657.837875
505,131628.85926
506,132202.84592000002
507,131730.32209
508,70730.06911000001
509,71033.28023500001
510,71646.80693500002
511,71226.55409500001
512,545328.7163300001
513,544078.8200300001
514,545867.5557900001
515,544189.23848
516,529076.7929250001
517,529243.3905
518,532149.940885
519,530631.5883150001
520,16459.631345
521,16546.048295
522,16572.89855
523,16495.654625000003
524,0.0
525,0.0
526,0.0
527,0.0
528,73918.772965
529,73711.82777499998
530,74104.79742999999
531,73898.30273499999
532,361733.44572499994
533,361704.0835099999
534,363502.2784649999
535,362468.0660599999
536,624887.879635
537,625136.45449
538,628916.42967
539,626722.993105
540,424391.63850499986
541,421821.2748349999
542,422618.2974099999
543,423822.7097299999
544,554061.3822849999
545,551661.17002
546,553082.902055
547,553724.0018199999
548,430819.71955
549,429198.29413
550,429844.18646999996
551,430311.99623499997
552,324404.677105
553,322288.229865
554,322714.01551500004
555,323653.35574
556,488616.37413999985
557,487060.5338649999
558,487757.22387499985
559,487754.05448499986
560,764370.9239850001
561,774649.5292350001
562,771657.1828650001
563,764201.83449
564,727143.7752149999
565,738629.46942
566,735763.699135
567,727891.476175
568,651182.65908
569,657318.2895750001
570,662586.9203
571,653657.18238
572,95096.30381000001
573,96197.567825
574,95590.464335
575,94721.082955
576,278405.09979499993
577,280507.33821499994
578,279597.320975
579,277559.1514
580,339110.95989
581,342597.865815
582,342729.64086000004
583,339598.89609500003
584,112256.04445000002
585,113553.45134500001
586,114174.28702000002
587,112805.83350500002
588,42473.758055000006
589,43202.19954500002
590,42561.34918500001
591,42292.96361000001
592,368027.6315850001
593,372008.7201150001
594,368848.7872300001
595,365435.2174950001
596,379741.60582500004
597,384043.150065
598,382650.78644500003
599,380198.67441000004
600,14605.82093
601,14712.499025
602,14674.16255
603,14535.600805
604,0.0
605,0.0
606,0.0
607,0.0
608,12584.211234999995
609,13183.752009999997
610,11179.793064999976
611,12430.65069499999
612,181219.94225999992
613,185722.85224499996
614,179659.75219499995
615,181479.33431999994
616,422899.24923
617,429130.44015000004
618,426730.80016
619,423723.42582
620,245027.34789499984
621,250331.03296999983
622,247809.95309499983
623,245332.83659999986
624,360389.5577199999
625,366226.530865
626,364694.1889849999
627,361277.88605999993
628,300567.52079499996
629,304040.182615
630,302939.215885
631,299872.672445
632,184633.69601500002
633,189406.63630000004
634,188634.124155
635,185309.22567500002
636,278857.3407599998
637,284699.06545499986
638,281913.3754499999
639,277676.85070999985
640,242586.08655000012
641,256383.13140000007
642,242892.65092499997
643,242587.67850000015
644,264477.63855000003
645,276609.5943499999
646,261596.11297499994
647,261979.68929999985
648,92260.23047499987
649,102753.94494999992
650,88855.7284749999
651,89175.20614999987
652,31976.455724999993
653,34373.87452499999
654,32927.70605000001
655,32916.97592499999
656,49851.00047499995
657,54355.37080000003
658,52627.36529999995
659,53409.83099999995
660,73094.14649999997
661,79944.94042500004
662,73123.98162500001
663,74081.98422500008
