hour,Winter_2023-02-06__SI1,Winter_2023-02-06__SI2,Winter_2023-02-06__SI3,Winter_2023-02-06__SI4,Winter_2023-02-07__SI1,Winter_2023-02-07__SI2,Winter_2023-02-07__SI3,Winter_2023-02-07__SI4,Winter_2023-02-08__SI1,Winter_2023-02-08__SI2,Winter_2023-02-08__SI3,Winter_2023-02-08__SI4,Winter_2023-02-09__SI1,Winter_2023-02-09__SI2,Winter_2023-02-09__SI3,Winter_2023-02-09__SI4,Winter_2023-02-10__SI1,Winter_2023-02-10__SI2,Winter_2023-02-10__SI3,Winter_2023-02-10__SI4,Spring_2023-05-08__SI1,Spring_2023-05-08__SI2,Spring_2023-05-08__SI3,Spring_2023-05-08__SI4,Spring_2023-05-09__SI1,Spring_2023-05-09__SI2,Spring_2023-05-09__SI3,Spring_2023-05-09__SI4,Spring_2023-05-10__SI1,Spring_2023-05-10__SI2,Spring_2023-05-10__SI3,Spring_2023-05-10__SI4,Spring_2023-05-11__SI1,Spring_2023-05-11__SI2,Spring_2023-05-11__SI3,Spring_2023-05-11__SI4,Spring_2023-05-12__SI1,Spring_2023-05-12__SI2,Spring_2023-05-12__SI3,Spring_2023-05-12__SI4,Summer_2023-08-07__SI1,Summer_2023-08-07__SI2,Summer_2023-08-07__SI3,Summer_2023-08-07__SI4,Summer_2023-08-08__SI1,Summer_2023-08-08__SI2,Summer_2023-08-08__SI3,Summer_2023-08-08__SI4,Summer_2023-08-09__SI1,Summer_2023-08-09__SI2,Summer_2023-08-09__SI3,Summer_2023-08-09__SI4,Summer_2023-08-10__SI1,Summer_2023-08-10__SI2,Summer_2023-08-10__SI3,Summer_2023-08-10__SI4,Summer_2023-08-11__SI1,Summer_2023-08-11__SI2,Summer_2023-08-11__SI3,Summer_2023-08-11__SI4,Autumn_2023-11-06__SI1,Autumn_2023-11-06__SI2,Autumn_2023-11-06__SI3,Autumn_2023-11-06__SI4,Autumn_2023-11-07__SI1,Autumn_2023-11-07__SI2,Autumn_2023-11-07__SI3,Autumn_2023-11-07__SI4,Autumn_2023-11-08__SI1,Autumn_2023-11-08__SI2,Autumn_2023-11-08__SI3,Autumn_2023-11-08__SI4,Autumn_2023-11-09__SI1,Autumn_2023-11-09__SI2,Autumn_2023-11-09__SI3,Autumn_2023-11-09__SI4,Autumn_2023-11-10__SI1,Autumn_2023-11-10__SI2,Autumn_2023-11-10__SI3,Autumn_2023-11-10__SI4
10,157.318,231.35000000000002,231.35000000000002,157.318,143.123,210.475,210.475,143.123,108.8,160.0,160.0,108.8,25.0325,36.8125,36.8125,25.0325,96.8405,142.41250000000002,142.41250000000002,96.8405,76.18549999999999,112.0375,112.0375,76.18549999999999,28.398499999999995,41.762499999999996,41.762499999999996,28.398499999999995,18.7425,27.5625,27.5625,18.7425,107.70349999999999,158.3875,158.3875,107.70349999999999,70.108,103.10000000000001,103.10000000000001,70.108,3.4595000000000002,5.0875,5.0875,3.4595000000000002,-4.454,-6.550000000000001,-6.550000000000001,-4.454,1.1815,1.7374999999999998,1.7374999999999998,1.1815,37.298,54.85,54.85,37.298,71.8335,105.6375,105.6375,71.8335,52.632,77.4,77.4,52.632,81.90599999999999,120.45,120.45,81.90599999999999,70.3205,103.41250000000001,103.41250000000001,70.3205,32.4955,47.787499999999994,47.787499999999994,32.4955,67.201,98.825,98.825,67.201
11,224.8,224.8,152.864,152.864,173.02499999999998,173.02499999999998,117.65699999999998,117.65699999999998,154.125,154.125,104.80499999999999,104.80499999999999,35.975,35.975,24.463,24.463,124.35000000000001,124.35000000000001,84.558,84.558,99.60000000000001,99.60000000000001,67.72800000000001,67.72800000000001,36.1125,36.1125,24.5565,24.5565,4.987500000000001,4.987500000000001,3.3915,3.3915,144.7375,144.7375,98.42150000000001,98.42150000000001,83.4375,83.4375,56.7375,56.7375,1.25,1.25,0.85,0.85,-7.7749999999999995,-7.7749999999999995,-5.287,-5.287,1.85,1.85,1.258,1.258,48.075,48.075,32.691,32.691,92.1125,92.1125,62.6365,62.6365,70.6,70.6,48.007999999999996,48.007999999999996,107.72500000000001,107.72500000000001,73.253,73.253,98.5625,98.5625,67.0225,67.0225,51.2125,51.2125,34.8245,34.8245,97.52499999999999,97.52499999999999,66.317,66.317
12,210.9,143.412,143.412,143.412,171.20000000000002,116.416,116.416,116.416,144.5125,98.2685,98.2685,98.2685,34.875,23.715,23.715,23.715,118.66250000000001,80.6905,80.6905,80.6905,93.825,63.801,63.801,63.801,31.325,21.301,21.301,21.301,3.875,2.635,2.635,2.635,130.6625,88.8505,88.8505,88.8505,66.08749999999999,44.939499999999995,44.939499999999995,44.939499999999995,-0.0125,-0.0085,-0.0085,-0.0085,-7.7749999999999995,-5.287,-5.287,-5.287,1.1749999999999998,0.7989999999999999,0.7989999999999999,0.7989999999999999,22.8125,15.5125,15.5125,15.5125,51.775000000000006,35.207,35.207,35.207,72.5625,49.342499999999994,49.342499999999994,49.342499999999994,104.42500000000001,71.009,71.009,71.009,94.63749999999999,64.3535,64.3535,64.3535,52.287499999999994,35.555499999999995,35.555499999999995,35.555499999999995,87.5,59.5,59.5,59.5
13,201.45,136.986,136.986,201.45,164.5375,111.8855,111.8855,164.5375,143.6,97.648,97.648,143.6,32.3125,21.9725,21.9725,32.3125,111.92500000000001,76.10900000000001,76.10900000000001,111.92500000000001,86.85000000000001,59.058,59.058,86.85000000000001,18.9625,12.894499999999999,12.894499999999999,18.9625,3.0125,2.0485,2.0485,3.0125,73.225,49.793,49.793,73.225,55.212500000000006,37.5445,37.5445,55.212500000000006,-1.0125000000000002,-0.6885,-0.6885,-1.0125000000000002,-8.475,-5.763,-5.763,-8.475,1.675,1.139,1.139,1.675,22.512500000000003,15.3085,15.3085,22.512500000000003,37.737500000000004,25.6615,25.6615,37.737500000000004,83.72500000000001,56.933,56.933,83.72500000000001,107.38749999999999,73.0235,73.0235,107.38749999999999,95.1,64.66799999999999,64.66799999999999,95.1,58.949999999999996,40.086,40.086,58.949999999999996,65.11250000000001,44.2765,44.2765,65.11250000000001
14,139.315,139.315,139.315,139.315,122.40849999999999,122.40849999999999,122.40849999999999,122.40849999999999,97.104,97.104,97.104,97.104,21.453999999999997,21.453999999999997,21.453999999999997,21.453999999999997,42.4915,42.4915,42.4915,42.4915,53.464999999999996,53.464999999999996,53.464999999999996,53.464999999999996,8.4915,8.4915,8.4915,8.4915,1.326,1.326,1.326,1.326,43.0355,43.0355,43.0355,43.0355,31.942999999999998,31.942999999999998,31.942999999999998,31.942999999999998,-0.9435,-0.9435,-0.9435,-0.9435,-8.5085,-8.5085,-8.5085,-8.5085,2.2184999999999997,2.2184999999999997,2.2184999999999997,2.2184999999999997,14.297,14.297,14.297,14.297,27.3785,27.3785,27.3785,27.3785,66.13,66.13,66.13,66.13,80.2995,80.2995,80.2995,80.2995,68.4845,68.4845,68.4845,68.4845,43.282000000000004,43.282000000000004,43.282000000000004,43.282000000000004,38.25,38.25,38.25,38.25
15,145.06949999999998,145.06949999999998,145.06949999999998,213.33749999999998,142.57049999999998,142.57049999999998,142.57049999999998,209.6625,106.58149999999999,106.58149999999999,106.58149999999999,156.7375,21.7515,21.7515,21.7515,31.9875,31.8155,31.8155,31.8155,46.7875,51.1785,51.1785,51.1785,75.2625,5.9075,5.9075,5.9075,8.6875,1.292,1.292,1.292,1.9,18.342999999999996,18.342999999999996,18.342999999999996,26.974999999999998,31.645499999999995,31.645499999999995,31.645499999999995,46.537499999999994,-0.9689999999999999,-0.9689999999999999,-0.9689999999999999,-1.4249999999999998,-9.86,-9.86,-9.86,-14.5,1.8784999999999998,1.8784999999999998,1.8784999999999998,2.7625,14.399000000000001,14.399000000000001,14.399000000000001,21.175,49.308499999999995,49.308499999999995,49.308499999999995,72.5125,76.9165,76.9165,76.9165,113.1125,84.1585,84.1585,84.1585,123.7625,68.408,68.408,68.408,100.60000000000001,44.4465,44.4465,44.4465,65.3625,74.80850000000001,74.80850000000001,74.80850000000001,110.0125
16,154.53,154.53,154.53,154.53,161.48299999999998,161.48299999999998,161.48299999999998,161.48299999999998,108.88499999999999,108.88499999999999,108.88499999999999,108.88499999999999,21.683500000000002,21.683500000000002,21.683500000000002,21.683500000000002,32.682500000000005,32.682500000000005,32.682500000000005,32.682500000000005,51.2465,51.2465,51.2465,51.2465,5.3805,5.3805,5.3805,5.3805,1.4705,1.4705,1.4705,1.4705,22.9245,22.9245,22.9245,22.9245,32.3595,32.3595,32.3595,32.3595,-0.765,-0.765,-0.765,-0.765,-4.8365,-4.8365,-4.8365,-4.8365,3.4595000000000002,3.4595000000000002,3.4595000000000002,3.4595000000000002,14.977,14.977,14.977,14.977,71.893,71.893,71.893,71.893,92.582,92.582,92.582,92.582,93.177,93.177,93.177,93.177,70.3545,70.3545,70.3545,70.3545,107.9585,107.9585,107.9585,107.9585,102.9095,102.9095,102.9095,102.9095
17,169.099,169.099,169.099,169.099,188.921,188.921,188.921,188.921,108.6385,108.6385,108.6385,108.6385,22.95,22.95,22.95,22.95,35.071,35.071,35.071,35.071,52.6915,52.6915,52.6915,52.6915,10.829,10.829,10.829,10.829,3.162,3.162,3.162,3.162,49.504,49.504,49.504,49.504,42.134499999999996,42.134499999999996,42.134499999999996,42.134499999999996,-0.034,-0.034,-0.034,-0.034,-2.278,-2.278,-2.278,-2.278,6.766,6.766,6.766,6.766,37.791,37.791,37.791,37.791,83.283,83.283,83.283,83.283,113.628,113.628,113.628,113.628,116.314,116.314,116.314,116.314,74.392,74.392,74.392,74.392,112.03,112.03,112.03,112.03,114.8775,114.8775,114.8775,114.8775
18,266.875,181.475,181.475,181.475,307.0,208.76,208.76,208.76,128.5375,87.40549999999999,87.40549999999999,87.40549999999999,32.712500000000006,22.244500000000002,22.244500000000002,22.244500000000002,39.125,26.605,26.605,26.605,81.05000000000001,55.114000000000004,55.114000000000004,55.114000000000004,27.575,18.750999999999998,18.750999999999998,18.750999999999998,12.3875,8.4235,8.4235,8.4235,122.5125,83.3085,83.3085,83.3085,79.925,54.349,54.349,54.349,0.9750000000000001,0.663,0.663,0.663,-1.25,-0.85,-0.85,-0.85,21.237499999999997,14.441499999999998,14.441499999999998,14.441499999999998,106.0625,72.12249999999999,72.12249999999999,72.12249999999999,140.975,95.863,95.863,95.863,182.825,124.32099999999998,124.32099999999998,124.32099999999998,180.925,123.02900000000001,123.02900000000001,123.02900000000001,99.05,67.354,67.354,67.354,160.72500000000002,109.293,109.293,109.293,168.875,114.835,114.835,114.835
19,174.57299999999998,174.57299999999998,174.57299999999998,256.725,194.65,194.65,194.65,286.25,74.783,74.783,74.783,109.97500000000001,20.5445,20.5445,20.5445,30.212500000000002,25.483,25.483,25.483,37.475,53.3885,53.3885,53.3885,78.5125,17.799,17.799,17.799,26.175,19.346,19.346,19.346,28.450000000000003,121.9495,121.9495,121.9495,179.3375,91.494,91.494,91.494,134.55,2.4905,2.4905,2.4905,3.6625,-0.935,-0.935,-0.935,-1.375,14.738999999999999,14.738999999999999,14.738999999999999,21.675,87.94099999999999,87.94099999999999,87.94099999999999,129.325,119.6885,119.6885,119.6885,176.0125,81.158,81.158,81.158,119.35000000000001,83.487,83.487,83.487,122.775,61.735499999999995,61.735499999999995,61.735499999999995,90.7875,72.0715,72.0715,72.0715,105.98750000000001,105.04299999999999,105.04299999999999,105.04299999999999,154.475
20,158.2785,158.2785,232.76250000000002,158.2785,169.1755,169.1755,248.7875,169.1755,21.6155,21.6155,31.7875,21.6155,19.915499999999998,19.915499999999998,29.2875,19.915499999999998,25.347,25.347,37.275,25.347,48.603,48.603,71.475,48.603,8.772,8.772,12.9,8.772,20.9695,20.9695,30.837500000000002,20.9695,110.16850000000001,110.16850000000001,162.01250000000002,110.16850000000001,103.69149999999999,103.69149999999999,152.48749999999998,103.69149999999999,1.1985,1.1985,1.7625,1.1985,-0.9435,-0.9435,-1.3875000000000002,-0.9435,38.7345,38.7345,56.9625,38.7345,140.1735,140.1735,206.1375,140.1735,141.661,141.661,208.325,141.661,66.6995,66.6995,98.0875,66.6995,72.0715,72.0715,105.98750000000001,72.0715,50.3625,50.3625,74.0625,50.3625,33.0905,33.0905,48.6625,33.0905,76.7805,76.7805,112.9125,76.7805
21,141.50799999999998,141.50799999999998,141.50799999999998,141.50799999999998,159.953,159.953,159.953,159.953,18.291999999999998,18.291999999999998,18.291999999999998,18.291999999999998,19.023,19.023,19.023,19.023,26.214,26.214,26.214,26.214,44.2425,44.2425,44.2425,44.2425,4.9215,4.9215,4.9215,4.9215,26.214,26.214,26.214,26.214,98.226,98.226,98.226,98.226,97.8775,97.8775,97.8775,97.8775,0.6034999999999999,0.6034999999999999,0.6034999999999999,0.6034999999999999,-0.9520000000000001,-0.9520000000000001,-0.9520000000000001,-0.9520000000000001,45.1265,45.1265,45.1265,45.1265,122.8165,122.8165,122.8165,122.8165,113.05,113.05,113.05,113.05,57.902,57.902,57.902,57.902,68.731,68.731,68.731,68.731,43.4095,43.4095,43.4095,43.4095,31.5605,31.5605,31.5605,31.5605,76.7805,76.7805,76.7805,76.7805
22,129.625,129.625,129.625,129.625,147.339,147.339,147.339,147.339,16.8385,16.8385,16.8385,16.8385,18.1985,18.1985,18.1985,18.1985,25.551,25.551,25.551,25.551,34.254999999999995,34.254999999999995,34.254999999999995,34.254999999999995,1.36,1.36,1.36,1.36,14.517999999999999,14.517999999999999,14.517999999999999,14.517999999999999,78.4465,78.4465,78.4465,78.4465,83.9375,83.9375,83.9375,83.9375,0.0085,0.0085,0.0085,0.0085,-0.9604999999999999,-0.9604999999999999,-0.9604999999999999,-0.9604999999999999,45.8065,45.8065,45.8065,45.8065,98.1665,98.1665,98.1665,98.1665,100.198,100.198,100.198,100.198,38.216,38.216,38.216,38.216,52.870000000000005,52.870000000000005,52.870000000000005,52.870000000000005,33.915,33.915,33.915,33.915,28.203,28.203,28.203,28.203,76.7635,76.7635,76.7635,76.7635
23,130.9,130.9,130.9,130.9,138.6095,138.6095,138.6095,138.6095,11.840499999999999,11.840499999999999,11.840499999999999,11.840499999999999,17.0595,17.0595,17.0595,17.0595,25.5085,25.5085,25.5085,25.5085,24.9305,24.9305,24.9305,24.9305,0.0085,0.0085,0.0085,0.0085,1.683,1.683,1.683,1.683,29.358999999999998,29.358999999999998,29.358999999999998,29.358999999999998,72.87899999999999,72.87899999999999,72.87899999999999,72.87899999999999,-0.153,-0.153,-0.153,-0.153,-1.666,-1.666,-1.666,-1.666,44.438,44.438,44.438,44.438,86.0965,86.0965,86.0965,86.0965,88.213,88.213,88.213,88.213,29.826500000000003,29.826500000000003,29.826500000000003,29.826500000000003,40.29,40.29,40.29,40.29,26.078,26.078,26.078,26.078,24.191,24.191,24.191,24.191,76.7635,76.7635,76.7635,76.7635
